,Unnamed: 0.1,Unnamed: 0,x,y,frame,track_id,label,channel,z,xres,yres,zres,degree_av_rotation,degree_av_translation
101547,51072,57606,272.94457973616534,304.3088280423775,32,3613,18,w1,0.0,-21.99706443500713,12.971975578653767,0.0,0.0109527341693689,4.309320014902107
101609,52490,59212,272.11968379612125,304.96908796598444,33,3613,18,w1,0.0,-22.669731199234377,13.846422530763164,0.0,0.0109527341693689,4.309320014902107
101677,53939,60845,272.1003497021333,305.4487679537062,34,3613,18,w1,0.0,-23.421160264929483,13.906629428786914,0.0,0.0109527341693689,4.309320014902107
101742,55375,62487,271.09594132982573,305.3295473442258,35,3613,18,w1,0.0,-24.51676654692011,14.513465491976888,0.0,0.0109527341693689,4.309320014902107
101802,56820,64100,270.77435035468926,305.67635404480205,36,3613,18,w1,0.0,-25.377418766633863,15.018814824272852,0.0,0.0109527341693689,4.309320014902107
101855,58254,65707,271.0909726446084,305.68053795332094,37,3613,18,w1,0.0,-25.86135950495532,15.65175809389092,0.0,0.0109527341693689,4.309320014902107
101914,59654,67286,270.5592071933786,304.91552871505934,38,3613,18,w1,0.0,-26.182389702032022,15.960308598627307,0.0,0.0109527341693689,4.309320014902107
101970,61043,68853,271.0483923767241,305.3888013264331,39,3613,18,w1,0.0,-26.91127269200308,16.68568010691979,0.0,0.0109527341693689,4.309320014902107
102035,62477,70451,270.781860790094,304.8767462218583,40,3613,18,w1,0.0,-27.06138205882252,16.885569045532918,0.0,0.0109527341693689,4.309320014902107
102090,63862,72014,270.93969037523766,304.8718564926872,41,3613,18,w1,0.0,-27.62271623683722,17.138603579294113,0.0,0.0109527341693689,4.309320014902107
102150,65275,73594,270.6003789983336,305.343265271873,42,3613,18,w1,0.0,-27.91539732071743,17.37662424940089,0.0,0.0109527341693689,4.309320014902107
102217,66639,75136,271.75282324414025,305.80482220622434,43,3613,18,w1,0.0,-27.974030764891157,17.369183635956404,0.0,0.0109527341693689,4.309320014902107
102290,68053,76732,271.1726037514016,305.1492091734425,44,3613,18,w1,0.0,-28.335578740387632,17.22145063921016,0.0,0.0109527341693689,4.309320014902107
102352,69452,78304,270.7205384853289,306.1578352890383,45,3613,18,w1,0.0,-29.005661175588727,17.33729413191486,0.0,0.0109527341693689,4.309320014902107
102414,70802,79811,270.4097293307815,305.4702120228594,46,3613,18,w1,0.0,-29.565662987140115,17.590676572307416,0.0,0.0109527341693689,4.309320014902107
102472,72125,81302,270.16832001479173,306.1683279481604,47,3613,18,w1,0.0,-29.77684129350655,18.02337538239459,0.0,0.0109527341693689,4.309320014902107
102535,73473,82818,269.4461655958405,305.61171959162823,48,3613,18,w1,0.0,-29.768801983698893,18.09786755317674,0.0,0.0109527341693689,4.309320014902107
102600,74807,84313,269.8525853582024,305.7889504699924,49,3613,18,w1,0.0,-30.285934950184924,18.613726384302367,0.0,0.0109527341693689,4.309320014902107
102657,76099,85776,270.0369744693453,306.9924984922182,50,3613,18,w1,0.0,-30.73639958240437,19.160160611186484,0.0,0.0109527341693689,4.309320014902107
102713,77479,87313,270.5167584412354,306.4049282317292,51,3613,18,w1,0.0,-30.048845150863315,19.01618241873024,0.0,0.0109527341693689,4.309320014902107
102777,78817,88832,269.4302424617407,306.7161082280263,52,3613,18,w1,0.0,-30.115566091459755,19.18255818403173,0.0,0.0109527341693689,4.309320014902107
102835,80130,90322,269.3435785253811,306.60747314829985,53,3613,18,w1,0.0,-30.616276834145825,19.826800886459356,0.0,0.0109527341693689,4.309320014902107
102890,81423,91770,270.3754513370915,306.09235559145407,54,3613,18,w1,0.0,-30.99291186783768,20.225120043309172,0.0,0.0109527341693689,4.309320014902107
102947,82711,93230,270.3085211805697,306.7893416389583,55,3613,18,w1,0.0,-31.673737812513025,21.021683149132457,0.0,0.0109527341693689,4.309320014902107
103002,84012,94693,271.0609806109167,305.6363286821655,56,3613,18,w1,0.0,-31.587833340913505,21.295629129848805,0.0,0.0109527341693689,4.309320014902107
103162,87836,98997,267.5494578887775,300.7871617970261,59,3613,18,w1,0.0,-30.712885883166397,19.96507663034248,0.0,0.0109527341693689,4.309320014902107
103218,89085,100398,266.41248242406203,303.7176591879061,60,3613,18,w1,0.0,-31.10097710182515,19.933475105881826,0.0,0.0109527341693689,4.309320014902107
103465,94465,106477,264.9842616222484,304.7742958894792,64,3613,18,w1,0.0,-32.72924045659954,20.83861216875937,0.0,0.0109527341693689,4.309320014902107
103511,95287,107418,261.03766295627884,307.8574136691454,65,3613,18,w1,0.0,-33.31724455145064,20.269742790078965,0.0,0.0109527341693689,4.309320014902107
103705,99559,112231,262.23680289051924,308.1998365565536,68,3613,18,w1,0.0,-33.39237631454267,21.232548654117466,0.0,0.0109527341693689,4.309320014902107
103755,100666,113487,260.3132759692039,307.5676283722852,69,3613,18,w1,0.0,-33.47351425153204,20.75806732963622,0.0,0.0109527341693689,4.309320014902107
103817,101822,114787,261.011532247507,308.10752252056415,70,3613,18,w1,0.0,-33.81715375523481,20.740194838743605,0.0,0.0109527341693689,4.309320014902107
103865,102983,116093,260.8095466269383,308.5968939580236,71,3613,18,w1,0.0,-34.223384876664625,21.03500752860504,0.0,0.0109527341693689,4.309320014902107
103979,105281,118704,257.61163277658403,307.6512297194899,73,3613,18,w1,0.0,-35.01029894741549,20.195585027428194,0.0,0.0109527341693689,4.309320014902107
104030,106440,120015,258.05728103758946,308.3189638612496,74,3613,18,w1,0.0,-34.97860139398125,20.530281232849973,0.0,0.0109527341693689,4.309320014902107
104075,107549,121258,257.4089113336971,307.8229052141527,75,3613,18,w1,0.0,-35.53481000649094,20.21508778065055,0.0,0.0109527341693689,4.309320014902107
104133,108651,122515,257.8301336286367,308.1501538290926,76,3613,18,w1,0.0,-35.751213272574375,20.67330033886799,0.0,0.0109527341693689,4.309320014902107
104177,109746,123779,256.60973053280253,307.8668602159012,77,3613,18,w1,0.0,-35.62029272221571,20.28232062841312,0.0,0.0109527341693689,4.309320014902107
104217,110842,125023,256.6511386659324,308.5972885145663,78,3613,18,w1,0.0,-36.29680596243685,20.455320805788237,0.0,0.0109527341693689,4.309320014902107
104264,111942,126273,257.63917239707735,308.4060889085661,79,3613,18,w1,0.0,-36.25188523806156,20.56112636196241,0.0,0.0109527341693689,4.309320014902107
104319,113018,127496,256.65215243481515,309.0124284485228,80,3613,18,w1,0.0,-35.942768464746166,19.964422483098645,0.0,0.0109527341693689,4.309320014902107
104370,114071,128692,257.1866348042255,309.31932528946595,81,3613,18,w1,0.0,-36.137944692881774,19.87980759396436,0.0,0.0109527341693689,4.309320014902107
104416,115154,129909,257.21393943719977,308.2754195316884,82,3613,18,w1,0.0,-35.68508682326501,20.10980852966719,0.0,0.0109527341693689,4.309320014902107
104434,115435,130217,260.1492346764846,306.26437925909914,83,3613,18,w1,0.0,-35.81524861173472,20.633824937209283,0.0,0.0109527341693689,4.309320014902107
104648,119679,135060,259.3547562689899,304.578002633717,87,3613,18,w1,0.0,-36.11034022231206,20.928598373834348,0.0,0.0109527341693689,4.309320014902107
104859,124058,140078,257.94224239893464,307.0405997069371,91,3613,18,w1,0.0,-37.04908163232653,21.24289883848826,0.0,0.0109527341693689,4.309320014902107
104992,126678,143057,258.89256204987595,309.60538138560605,94,3613,18,w1,0.0,-39.1785696680318,22.53779204997818,0.0,0.0109527341693689,4.309320014902107
105060,128029,144605,260.1622463593267,310.8153964529744,95,3613,18,w1,0.0,-39.79602559828823,22.79987432245593,0.0,0.0109527341693689,4.309320014902107
105169,130374,147310,259.8449469351767,308.8086705968582,97,3613,18,w1,0.0,-39.01691379003017,22.24360738632032,0.0,0.0109527341693689,4.309320014902107
105223,131361,148459,260.3021394307383,307.75163146123344,98,3613,18,w1,0.0,-39.13430390730099,22.714833923606022,0.0,0.0109527341693689,4.309320014902107
105323,133500,150936,261.41402702956805,312.06251529916034,101,3613,18,w1,0.0,-40.03217518047404,23.679779428930544,0.0,0.0109527341693689,4.309320014902107
105389,134937,152583,264.4199281001708,310.8924239980885,102,3613,18,w1,0.0,-39.84990341514583,24.50755576463763,0.0,0.0109527341693689,4.309320014902107
105462,136624,154500,263.1484078452636,308.7007902291284,104,3613,18,w1,0.0,-40.36544164143192,24.545566790657237,0.0,0.0109527341693689,4.309320014902107
105595,139624,157971,266.6713833650094,312.9359132260852,107,3613,18,w1,0.0,-41.71816858553103,26.41164233132156,0.0,0.0109527341693689,4.309320014902107
105728,142490,161216,262.24532912489184,317.2845766832026,111,3613,18,w1,0.0,-44.33773038241196,26.975243493703147,0.0,0.0109527341693689,4.309320014902107
105817,144419,163419,261.5168663044568,321.8118040254478,113,3613,18,w1,0.0,-45.26659227938541,27.147894813425975,0.0,0.0109527341693689,4.309320014902107
105893,146236,165529,258.51673457683046,320.9154759459985,115,3613,18,w1,0.0,-46.32665399701597,27.08351497338805,0.0,0.0109527341693689,4.309320014902107
